external_team,database_rig,external_work_hours,external_move_hours,external_manned_wait_hours,external_unmanned_wait_hours,external_force_majeure_hours,external_repair_zero_rate_hours,external_total_hours,database_report_count,database_observed_days,database_first_date,database_last_date,database_parsed_hours,database_official_hours,database_pending_hours,uploaded_hour_coverage_pct,reconciliation_status
RIG219,SINOPEC 219,672.0,48.0,0.0,0.0,0.0,0.0,720.0,1,1,2026-06-11,2026-06-11,24.0,5.5,18.5,3.3,PARTIAL_SOURCE_COVERAGE
RIG127,SINOPEC 127,696.0,24.0,0.0,0.0,0.0,0.0,720.0,1,1,2026-06-11,2026-06-11,24.0,24.0,0.0,3.3,PARTIAL_SOURCE_COVERAGE
RIG129,SINOPEC 129,696.0,24.0,0.0,0.0,0.0,0.0,720.0,13,13,2026-06-11,2026-06-28,306.0,306.0,0.0,42.5,PARTIAL_SOURCE_COVERAGE
RIG248,SINOPEC 248,654.0,56.5,0.0,0.0,0.0,9.5,720.0,1,1,2026-06-11,2026-06-11,24.0,6.0,18.0,3.3,PARTIAL_SOURCE_COVERAGE
RIG168,SINOPEC 168,162.0,456.0,0.0,0.0,0.0,0.0,618.0,1,1,2026-06-10,2026-06-10,24.0,24.0,0.0,3.9,PARTIAL_SOURCE_COVERAGE
RIG183,SINOPEC 183,696.0,24.0,0.0,0.0,0.0,0.0,720.0,13,13,2026-06-01,2026-06-30,300.0,224.5,75.5,41.7,PARTIAL_SOURCE_COVERAGE
RIG185,SINOPEC 185,453.0,189.0,0.0,0.0,0.0,0.0,642.0,0,0,,,0.0,0.0,0.0,0.0,PARTIAL_SOURCE_COVERAGE
RIG220,SINOPEC 220,6.0,348.0,0.0,0.0,0.0,0.0,354.0,0,0,,,0.0,0.0,0.0,0.0,PARTIAL_SOURCE_COVERAGE
RIG191,SINOPEC 191,696.0,24.0,0.0,0.0,0.0,0.0,720.0,13,13,2026-06-16,2026-06-28,300.0,300.0,0.0,41.7,PARTIAL_SOURCE_COVERAGE
W903,SINOPEC 903,665.0,55.0,0.0,0.0,0.0,0.0,720.0,0,0,,,0.0,0.0,0.0,0.0,PARTIAL_SOURCE_COVERAGE
W904,SINOPEC 904,697.0,23.0,0.0,0.0,0.0,0.0,720.0,0,0,,,0.0,0.0,0.0,0.0,PARTIAL_SOURCE_COVERAGE
W905,SINOPEC 905,619.5,29.5,0.0,0.0,0.0,0.0,649.0,1,1,2026-06-11,2026-06-11,24.0,24.0,0.0,3.7,PARTIAL_SOURCE_COVERAGE
W976,SINOPEC 976,693.0,27.0,0.0,0.0,0.0,0.0,720.0,0,0,,,0.0,0.0,0.0,0.0,PARTIAL_SOURCE_COVERAGE
W933,SINOPEC 933,602.0,118.0,0.0,0.0,0.0,0.0,720.0,23,22,2026-06-01,2026-06-30,503.0,493.0,10.0,69.9,PARTIAL_SOURCE_COVERAGE
W932,SINOPEC 932,672.0,48.0,0.0,0.0,0.0,0.0,720.0,0,0,,,0.0,0.0,0.0,0.0,PARTIAL_SOURCE_COVERAGE
