record_id,report_type,report_date,rig,wellbore,source_file,source_status,source_match_count,source_resolved_path,master_match_status,normalization_status,validation_status,translation_status,translation_rows,operation_count,parsed_hours,ready_rows,pending_rows,official_hours,pending_hours,clock_derived_rows,open_issue_types,acceptance_status,issue_codes
drilling:PCND-034:2025-08-30:1,drilling,2025-08-30,SINOPEC 191,PCND-034,08302025-PCND-034-SNP-191-PEC-001-V1R1-REPORTE DIARIO DE PERFORACION.pdf,RESOLVED,1,/Users/jason/Documents/厄瓜钻井日报解析/厄瓜多尔资料/日报资料/钻井/191 PCND-034 PERF/08302025-PCND-034-SNP-191-PEC-001-V1R1-REPORTE DIARIO DE PERFORACION.pdf,MATCHED,NORMALIZED,ok,COMPLETED,19,13,24.0,13,0,24.0,0.0,0,[],PASS,[]
drilling:PCND-034:2025-08-31:2,drilling,2025-08-31,SINOPEC 191,PCND-034,08312025-PCND-034-SNP-191-PEC-002-V1R1-REPORTE DIARIO DE PERFORACION.pdf,RESOLVED,1,/Users/jason/Documents/厄瓜钻井日报解析/厄瓜多尔资料/日报资料/钻井/191 PCND-034 PERF/08312025-PCND-034-SNP-191-PEC-002-V1R1-REPORTE DIARIO DE PERFORACION.pdf,MATCHED,NORMALIZED,ok,COMPLETED,24,18,24.0,18,0,24.0,0.0,0,[],PASS,[]
drilling:PCND-034:2025-09-01:3,drilling,2025-09-01,SINOPEC 191,PCND-034,09012025-PCND-034-SNP-191-PEC-003-V1R1-REPORTE DIARIO DE PERFORACION.pdf,RESOLVED,1,/Users/jason/Documents/厄瓜钻井日报解析/厄瓜多尔资料/日报资料/钻井/191 PCND-034 PERF/09012025-PCND-034-SNP-191-PEC-003-V1R1-REPORTE DIARIO DE PERFORACION.pdf,MATCHED,NORMALIZED,ok,COMPLETED,12,6,24.0,6,0,24.0,0.0,0,[],PASS,[]
drilling:PCND-034:2025-09-02:4,drilling,2025-09-02,SINOPEC 191,PCND-034,09022025-PCND-034-SNP-191-PEC-004-V1R1-REPORTE DIARIO DE PERFORACION.pdf,RESOLVED,1,/Users/jason/Documents/厄瓜钻井日报解析/厄瓜多尔资料/日报资料/钻井/191 PCND-034 PERF/09022025-PCND-034-SNP-191-PEC-004-V1R1-REPORTE DIARIO DE PERFORACION.pdf,MATCHED,NORMALIZED,ok,COMPLETED,9,3,24.0,3,0,24.0,0.0,0,[],PASS,[]
drilling:PCND-034:2025-09-03:5,drilling,2025-09-03,SINOPEC 191,PCND-034,09032025-PCND-034-SIN-191-PEC-005-V1R1-REPORTE DIARIO DE PERFORACION.pdf,RESOLVED,1,/Users/jason/Documents/厄瓜钻井日报解析/厄瓜多尔资料/日报资料/钻井/191 PCND-034 PERF/09032025-PCND-034-SIN-191-PEC-005-V1R1-REPORTE DIARIO DE PERFORACION.pdf,MATCHED,NORMALIZED,ok,COMPLETED,7,1,24.0,1,0,24.0,0.0,0,[],PASS,[]
drilling:PCND-034:2025-09-04:6,drilling,2025-09-04,SINOPEC 191,PCND-034,09042025-PCND-034-SIN-191-PEC-006-V1R1-REPORTE DIARIO DE PERFORACION.PDF,RESOLVED,1,/Users/jason/Documents/厄瓜钻井日报解析/厄瓜多尔资料/日报资料/钻井/191 PCND-034 PERF/09042025-PCND-034-SIN-191-PEC-006-V1R1-REPORTE DIARIO DE PERFORACION.PDF,MATCHED,NORMALIZED,ok,COMPLETED,9,3,24.0,3,0,24.0,0.0,0,[],PASS,[]
drilling:PCND-034:2025-09-05:7,drilling,2025-09-05,SINOPEC 191,PCND-034,09052025-PCND-034-SNP-191-PEC-007-V1R1-REPORTE DIARIO DE PERFORACION.pdf,RESOLVED,1,/Users/jason/Documents/厄瓜钻井日报解析/厄瓜多尔资料/日报资料/钻井/191 PCND-034 PERF/09052025-PCND-034-SNP-191-PEC-007-V1R1-REPORTE DIARIO DE PERFORACION.pdf,MATCHED,NORMALIZED,ok,COMPLETED,17,11,24.0,11,0,24.0,0.0,0,[],PASS,[]
drilling:PCND-034:2025-09-06:8,drilling,2025-09-06,SINOPEC 191,PCND-034,09062025-PCND-034-SNP-191-PEC-008-V1R1-REPORTE DIARIO DE PERFORACION.pdf,RESOLVED,1,/Users/jason/Documents/厄瓜钻井日报解析/厄瓜多尔资料/日报资料/钻井/191 PCND-034 PERF/09062025-PCND-034-SNP-191-PEC-008-V1R1-REPORTE DIARIO DE PERFORACION.pdf,MATCHED,NORMALIZED,ok,COMPLETED,20,14,24.0,14,0,24.0,0.0,0,[],PASS,[]
drilling:PCND-034:2025-09-07:9,drilling,2025-09-07,SINOPEC 191,PCND-034,09072025-PCND-034-SNP-191-PEC-009-V1R1-REPORTE DIARIO DE PERFORACION.pdf,RESOLVED,1,/Users/jason/Documents/厄瓜钻井日报解析/厄瓜多尔资料/日报资料/钻井/191 PCND-034 PERF/09072025-PCND-034-SNP-191-PEC-009-V1R1-REPORTE DIARIO DE PERFORACION.pdf,MATCHED,NORMALIZED,ok,COMPLETED,17,11,24.0,11,0,24.0,0.0,0,[],PASS,[]
drilling:PCND-034:2025-09-08:10,drilling,2025-09-08,SINOPEC 191,PCND-034,09082025-PCND-034-SNP-191-PEC-010-V1R1-REPORTE DIARIO DE PERFORACION.pdf,RESOLVED,1,/Users/jason/Documents/厄瓜钻井日报解析/厄瓜多尔资料/日报资料/钻井/191 PCND-034 PERF/09082025-PCND-034-SNP-191-PEC-010-V1R1-REPORTE DIARIO DE PERFORACION.pdf,MATCHED,NORMALIZED,warning,COMPLETED,8,3,5.5,3,0,5.5,0.0,0,"[""HOURS_NOT_24""]",REVIEW,"[""BOUNDARY_HOURS_NOT_24""]"
